nom;prenom;email;telephone;poste;entreprise;localisation;linkedin;source;tags;notes
;;;;Associe / Directeur de bureau Troyes;Sadec Akelys;Troyes (10);;Lamacompta;FINANCE,JOB,HIRING_MANAGER,500-2000,CONTACT_1,CONTACT_NON_SOURCE;Poste: Reviseur / Auditeur H/F/X (cabinet) | Date: NC (annonce en ligne au 2026-09-24 - date de publication non verifiable, lamacompta bloque par le proxy) | Effectif: 620 salaries - 30 sites en France | CA: NC | Salaire: a partir de 35 K EUR | Source: Lamacompta | Lien: https://lamacompta.co/cabinets/sadec-akelys/offres/auditeur-fhx-f-h-17152 | Contexte: Groupe d'expertise comptable et d'audit independant (620 salaries, 30 bureaux) en croissance externe (integration du cabinet Dauficom en Isere). Recrute un reviseur/auditeur sur le bureau de Troyes.
;;;;DRH;Sadec Akelys;Troyes (10);;Lamacompta;FINANCE,JOB,DRH,500-2000,CONTACT_2,CONTACT_NON_SOURCE;Poste: Reviseur / Auditeur H/F/X (cabinet) | Date: NC (annonce en ligne au 2026-09-24 - date de publication non verifiable, lamacompta bloque par le proxy) | Effectif: 620 salaries - 30 sites en France | CA: NC | Salaire: a partir de 35 K EUR | Source: Lamacompta | Lien: https://lamacompta.co/cabinets/sadec-akelys/offres/auditeur-fhx-f-h-17152 | Contexte: Groupe d'expertise comptable et d'audit independant (620 salaries, 30 bureaux) en croissance externe (integration du cabinet Dauficom en Isere). Recrute un reviseur/auditeur sur le bureau de Troyes.
;;;;Expert-comptable associe / Dirigeant;Opera & Associes;Le Perreux-sur-Marne (94);;Lamacompta;FINANCE,JOB,DG,5-50,CONTACT_1,CONTACT_NON_SOURCE;Poste: Charge de mission en cabinet d'expertise comptable H/F (CDI) | Date: NC (annonce en ligne au 2026-09-24 - date de publication non verifiable, lamacompta bloque par le proxy) | Effectif: 11-50 salaries | CA: NC | Salaire: 45-55 K EUR | Source: Lamacompta | Lien: https://lamacompta.co/cabinets/opera-associes/offres/charge-de-missions-en-cabinet-dexpertise-comptable-f-h-16893 | Contexte: Cabinet independant francilien cree en 1970 (11 bd Raymond Poincare - Le Perreux-sur-Marne) - portefeuille artisans/commercants/PME. Recrute un charge de mission autonome sur revision et bilans.
;;;;Responsable RH / RAF;Opera & Associes;Le Perreux-sur-Marne (94);;Lamacompta;FINANCE,JOB,DRH,5-50,CONTACT_2,CONTACT_NON_SOURCE;Poste: Charge de mission en cabinet d'expertise comptable H/F (CDI) | Date: NC (annonce en ligne au 2026-09-24 - date de publication non verifiable, lamacompta bloque par le proxy) | Effectif: 11-50 salaries | CA: NC | Salaire: 45-55 K EUR | Source: Lamacompta | Lien: https://lamacompta.co/cabinets/opera-associes/offres/charge-de-missions-en-cabinet-dexpertise-comptable-f-h-16893 | Contexte: Cabinet independant francilien cree en 1970 (11 bd Raymond Poincare - Le Perreux-sur-Marne) - portefeuille artisans/commercants/PME. Recrute un charge de mission autonome sur revision et bilans.
Demarelle;Herve;;;Expert-comptable associe;Groupe Exqual;Reims (51);;Site cabinet Exqual;FINANCE,JOB,DG,5-50,CONTACT_1;Poste: Collaborateur comptable confirme H/F | Date: NC (recrutement annonce pour l'automne 2026 - date de mise en ligne non verifiable) | Effectif: ~15 collaborateurs qualifies sur 4 cabinets (groupe Nord/Grand Est) | CA: NC | Salaire: NC | Source: Site cabinet Exqual | Lien: https://cabinet-exqual.fr/ | Contexte: Groupe Exqual (fonde en 1997) - 4 cabinets d'expertise comptable dans le nord de la France - plus de 1000 clients. Renforce l'equipe de Reims dans le cadre de son developpement. Cabinet independant hors reseaux nationaux.
;;;;Responsable RH;Groupe Exqual;Reims (51);;Site cabinet Exqual;FINANCE,JOB,DRH,5-50,CONTACT_2,CONTACT_NON_SOURCE;Poste: Collaborateur comptable confirme H/F | Date: NC (recrutement annonce pour l'automne 2026 - date de mise en ligne non verifiable) | Effectif: ~15 collaborateurs qualifies sur 4 cabinets (groupe Nord/Grand Est) | CA: NC | Salaire: NC | Source: Site cabinet Exqual | Lien: https://cabinet-exqual.fr/ | Contexte: Groupe Exqual (fonde en 1997) - 4 cabinets d'expertise comptable dans le nord de la France - plus de 1000 clients. Renforce l'equipe de Reims dans le cadre de son developpement. Cabinet independant hors reseaux nationaux.
;;;;Expert-comptable associe / Dirigeant;WeMa;Wettolsheim (68);;Lamacompta;FINANCE,JOB,DG,NC,CONTACT_1,CONTACT_NON_SOURCE;Poste: Chef de mission comptable - grands comptes H/F (CDI) | Date: NC (annonce en ligne au 2026-09-24 - date de publication non verifiable, lamacompta bloque par le proxy) | Effectif: NC (cabinet multi-sites Wettolsheim et Colmar - membre du Club ETI Grand Est) | CA: NC | Salaire: NC | Source: Lamacompta | Lien: https://lamacompta.co/cabinets/wema/emploi/chef-de-mission-comptable-grands-comptes-f-h-22091 | Contexte: Cabinet alsacien independant (expertise comptable - audit - paie - fiscalite - juridique - international). Recrute un chef de mission dedie a l'equipe grands comptes secteur distribution.
;;;;Responsable RH;WeMa;Wettolsheim (68);;Lamacompta;FINANCE,JOB,DRH,NC,CONTACT_2,CONTACT_NON_SOURCE;Poste: Chef de mission comptable - grands comptes H/F (CDI) | Date: NC (annonce en ligne au 2026-09-24 - date de publication non verifiable, lamacompta bloque par le proxy) | Effectif: NC (cabinet multi-sites Wettolsheim et Colmar - membre du Club ETI Grand Est) | CA: NC | Salaire: NC | Source: Lamacompta | Lien: https://lamacompta.co/cabinets/wema/emploi/chef-de-mission-comptable-grands-comptes-f-h-22091 | Contexte: Cabinet alsacien independant (expertise comptable - audit - paie - fiscalite - juridique - international). Recrute un chef de mission dedie a l'equipe grands comptes secteur distribution.
;;;;Expert-comptable associe / Dirigeant;E2CA;La Fleche (72);;Lamacompta;FINANCE,JOB,DG,NC,CONTACT_1,CONTACT_NON_SOURCE;Poste: Reviseur H/F (CDI 35h) | Date: NC (annonce en ligne au 2026-09-24 - date de publication non verifiable, lamacompta bloque par le proxy) | Effectif: NC (cabinet regional multi-sites Sarthe/Maine-et-Loire) | CA: NC | Salaire: NC | Source: Lamacompta | Lien: https://lamacompta.co/cabinets/e2ca/offres/reviseur-h-f-a-la-fleche-cdi-35h | Contexte: Cabinet d'expertise comptable independant du Grand Ouest. Poste de reviseur sur le bureau de La Fleche - revision de dossiers et supervision de collaborateurs.
;;;;Responsable RH;E2CA;La Fleche (72);;Lamacompta;FINANCE,JOB,DRH,NC,CONTACT_2,CONTACT_NON_SOURCE;Poste: Reviseur H/F (CDI 35h) | Date: NC (annonce en ligne au 2026-09-24 - date de publication non verifiable, lamacompta bloque par le proxy) | Effectif: NC (cabinet regional multi-sites Sarthe/Maine-et-Loire) | CA: NC | Salaire: NC | Source: Lamacompta | Lien: https://lamacompta.co/cabinets/e2ca/offres/reviseur-h-f-a-la-fleche-cdi-35h | Contexte: Cabinet d'expertise comptable independant du Grand Ouest. Poste de reviseur sur le bureau de La Fleche - revision de dossiers et supervision de collaborateurs.
