nom;prenom;email;telephone;poste;entreprise;localisation;linkedin;source;tags;notes
;;;;Directeur Général;Lily of the Valley;La Croix-Valmer (83);;UnJobEnVille;HOSPITALITY,JOB,DIRECTEUR_HOTEL,50-500,CONTACT_1,CONTACT_NON_SOURCE;Poste: Concierge H/F CDI | Date: 2026-09-01 | Effectif: 50-500 (estimé, resort 44 chambres+beach club) | CA: NC | Salaire: NC | Source: UnJobEnVille | Lien: https://www.unjobenville.com/offre-emploi/fla-exy5jpx6kjbnz7lv | Contexte: Hôtel 5* indépendant familial (père et fille), membre Leading Hotels of the World, La Croix-Valmer.
;;;;DRH;Lily of the Valley;La Croix-Valmer (83);;UnJobEnVille;HOSPITALITY,JOB,DRH,50-500,CONTACT_2,CONTACT_NON_SOURCE;Poste: Concierge H/F CDI | Date: 2026-09-01 | Effectif: 50-500 (estimé, resort 44 chambres+beach club) | CA: NC | Salaire: NC | Source: UnJobEnVille | Lien: https://www.unjobenville.com/offre-emploi/fla-exy5jpx6kjbnz7lv | Contexte: Hôtel 5* indépendant familial (père et fille), membre Leading Hotels of the World, La Croix-Valmer.
;;;;Directeur de la Restauration;Lily of the Valley;La Croix-Valmer (83);;UnJobEnVille;HOSPITALITY,JOB,FB_MANAGER,50-500,CONTACT_1,CONTACT_NON_SOURCE;Poste: Chef de rang H/F CDI | Date: 2026-08-31 | Effectif: 50-500 (estimé, resort 44 chambres+beach club) | CA: NC | Salaire: NC | Source: UnJobEnVille | Lien: https://www.unjobenville.com/offre-emploi/fla-gyxmvp3vlj698mzr | Contexte: Hôtel 5* indépendant familial, 2 restaurants + beach club 2 restaurants, La Croix-Valmer.
;;;;DRH;Lily of the Valley;La Croix-Valmer (83);;UnJobEnVille;HOSPITALITY,JOB,DRH,50-500,CONTACT_2,CONTACT_NON_SOURCE;Poste: Chef de rang H/F CDI | Date: 2026-08-31 | Effectif: 50-500 (estimé, resort 44 chambres+beach club) | CA: NC | Salaire: NC | Source: UnJobEnVille | Lien: https://www.unjobenville.com/offre-emploi/fla-gyxmvp3vlj698mzr | Contexte: Hôtel 5* indépendant familial, 2 restaurants + beach club 2 restaurants, La Croix-Valmer.
;;;;Directeur des Réservations;Zannier Île de Bendor;Bandol (83);;L'Etudiant;HOSPITALITY,JOB,HIRING_MANAGER,50-500,CONTACT_1,CONTACT_NON_SOURCE;Poste: Agent(e) de Réservations F/H | Date: 2026-08-30 | Effectif: 50-500 (groupe Zannier Hotels, ~10 propriétés monde, <2000) | CA: NC | Salaire: NC | Source: L'Etudiant | Lien: https://jobs-stages.letudiant.fr/entreprises/zannier-bendor/offres/agent-e-de-reservations-f-h-bandol-france-5 | Contexte: Ouverture prévue mai 2026 de Zannier Île de Bendor (93 chambres, 3 restaurants, spa, beach club), plus de 200 postes à pourvoir en région PACA.
;;;;DRH Groupe Zannier Hotels;Zannier Île de Bendor;Bandol (83);;L'Etudiant;HOSPITALITY,JOB,DRH,50-500,CONTACT_2,CONTACT_NON_SOURCE;Poste: Agent(e) de Réservations F/H | Date: 2026-08-30 | Effectif: 50-500 (groupe Zannier Hotels, ~10 propriétés monde, <2000) | CA: NC | Salaire: NC | Source: L'Etudiant | Lien: https://jobs-stages.letudiant.fr/entreprises/zannier-bendor/offres/agent-e-de-reservations-f-h-bandol-france-5 | Contexte: Ouverture prévue mai 2026 de Zannier Île de Bendor (93 chambres, 3 restaurants, spa, beach club), plus de 200 postes à pourvoir en région PACA.
;;;;Front Office Manager;Zannier Île de Bendor;Bandol (83);;France Travail;HOSPITALITY,JOB,HIRING_MANAGER,50-500,CONTACT_1,CONTACT_NON_SOURCE;Poste: Réceptionniste H/F CDI | Date: 2026-09-02 | Effectif: 50-500 (groupe Zannier Hotels, <2000) | CA: NC | Salaire: NC | Source: France Travail | Lien: https://www.francetravail.fr/region/provence-alpes-cote-d-azur/candidat-1/opportunites-demploi-et-de-forma/le-groupe-zannier-ile-de-bendor.html | Contexte: Campagne de recrutement massive (200+ postes) pour l'ouverture de l'hôtel Zannier Île de Bendor en mai 2026.
;;;;DRH Groupe Zannier Hotels;Zannier Île de Bendor;Bandol (83);;France Travail;HOSPITALITY,JOB,DRH,50-500,CONTACT_2,CONTACT_NON_SOURCE;Poste: Réceptionniste H/F CDI | Date: 2026-09-02 | Effectif: 50-500 (groupe Zannier Hotels, <2000) | CA: NC | Salaire: NC | Source: France Travail | Lien: https://www.francetravail.fr/region/provence-alpes-cote-d-azur/candidat-1/opportunites-demploi-et-de-forma/le-groupe-zannier-ile-de-bendor.html | Contexte: Campagne de recrutement massive (200+ postes) pour l'ouverture de l'hôtel Zannier Île de Bendor en mai 2026.
;;;;Directeur Général;Zannier Île de Bendor;Bandol (83);;France Travail;HOSPITALITY,JOB,DIRECTEUR_HOTEL,50-500,CONTACT_1,CONTACT_NON_SOURCE;Poste: Night Manager H/F CDI | Date: 2026-08-29 | Effectif: 50-500 (groupe Zannier Hotels, <2000) | CA: NC | Salaire: NC | Source: France Travail | Lien: https://www.francetravail.fr/region/provence-alpes-cote-d-azur/candidat-1/opportunites-demploi-et-de-forma/le-groupe-zannier-ile-de-bendor.html | Contexte: Recrutement de l'ensemble des fonctions hôtellerie/restauration pour l'ouverture de Zannier Île de Bendor.
;;;;DRH Groupe Zannier Hotels;Zannier Île de Bendor;Bandol (83);;France Travail;HOSPITALITY,JOB,DRH,50-500,CONTACT_2,CONTACT_NON_SOURCE;Poste: Night Manager H/F CDI | Date: 2026-08-29 | Effectif: 50-500 (groupe Zannier Hotels, <2000) | CA: NC | Salaire: NC | Source: France Travail | Lien: https://www.francetravail.fr/region/provence-alpes-cote-d-azur/candidat-1/opportunites-demploi-et-de-forma/le-groupe-zannier-ile-de-bendor.html | Contexte: Recrutement de l'ensemble des fonctions hôtellerie/restauration pour l'ouverture de Zannier Île de Bendor.
